"COLLISION_ID","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PERSONS.INJURED"
4486660,0,2
4487040,0,1
4485893,0,1
4455894,0,1
4456600,0,1
4456572,0,1
4456078,0,2
4457006,0,1
4456235,0,1
4456710,0,1
4408143,0,2
4407797,0,1
4456397,0,1
4407789,0,1
4408155,0,3
4407752,0,1
4407660,0,2
4407686,0,1
4456714,0,1
4408197,0,1
4408095,0,2
4456465,0,1
4407510,0,1
4408300,0,4
4407680,0,1
4408400,0,1
4408096,0,1
4408141,0,3
4408365,0,2
4407511,0,3
4408045,0,3
4456674,0,1
4456391,0,2
4456584,0,1
4456590,0,1
4456816,0,1
4456401,0,1
4456476,0,3
4457018,0,1
4456597,0,2
4456046,0,1
4456629,0,1
4456412,0,1
4456680,0,1
4457015,0,2
4408774,0,1
4408451,0,1
4408664,0,1
4408148,0,1
4408589,0,1
4408319,0,2
4408363,0,1
4408347,0,2
4408046,0,1
4485951,0,1
4455515,0,1
4409021,0,1
4408491,0,2
4408585,0,1
4408852,0,2
4408937,0,1
4408586,0,1
4409061,0,2
4408338,0,1
4408663,0,1
4408349,0,2
4408476,0,3
4409071,0,1
4456246,0,2
4456479,0,1
4456398,0,3
4456431,0,3
4456487,0,1
4456432,0,3
4456264,0,1
4456850,0,1
4457154,0,4
4407509,1,0
4409044,0,1
4409203,0,1
4408776,0,1
4408569,0,1
4408630,0,1
4408421,0,1
4409089,0,1
4408722,0,1
4409226,0,1
4408758,0,1
4408464,0,1
4408854,0,1
4409118,0,3
4408846,0,1
4408769,0,1
4409217,0,1
4487037,0,1
4487217,0,1
4487004,0,1
4487221,0,1
4487164,0,1
4487971,0,1
4486843,0,1
4487257,0,1
4457037,0,1
4457156,0,1
4456808,0,1
4408317,0,2
4409390,0,1
4409231,0,1
4409504,0,1
4408916,0,1
4409450,0,1
4409236,0,1
4409067,0,1
4409038,0,1
4409102,0,1
4408942,0,1
4409506,0,1
4409466,0,2
4409056,0,1
4409447,0,2
4457035,0,1
4457115,0,1
4457020,0,1
4487316,0,1
4456804,0,1
4457512,0,1
4456990,0,1
4456836,0,1
4456870,0,2
4457053,0,2
4457010,0,2
